state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GU,,,,,11064.11,0.0,,0.0,,13300.0,2138.32,,,688.82,,0.0,25892.07,638.6,,,8758.42,0.0,133882.01,,2466.0,1775.61,,912357.19,,98118.91,,,,,71379.09,,20097.68,9011.57,52703.84,51233.880000000005,,,10750.34,189328.08000000002,,,,
HI,0.0,,1095.09,107285.9,162845.04,774066.36,67476.27,3561187.31,308208.48,86829.86,187905.2,1084055.24,761125.57,1447031.0,85627.12,75363.48,1438837.42,29515198.0,250828.79,422724.19,649937.46,650168.46,359948.56,87143.95999999999,66724.49,1587981.3,180001.64,552215.64,1382195.28,791392.8200000001,212236.62,3474889.53,1414496.99,4868024.25,229847.17,731110.8099999999,11612650.85,1471190.65,170288.93,1442972.64,796428.27,2523626.7,799530.84,27001341.49,438357.52,1321027.06,6288879.17,36087.31
IA,,,6654.87,125989.45000000001,338601.1,119116.17,23188.44,251067.53,125295.5,268526.87,51423.92,536716.59,116457.4,,4802.93,7177270.51,547755.25,24876.99,20756705.5,35664.42,3271.4,1416617.99,843034.12,1186224.73,6964598.23,169417.38,4785880.38,835803.77,11917.76,2141066.29,22402.14,10732.720000000001,3284796.08,136622321.34,1057495.15,13981883.38,10858724.17,30047.29,3322160.61,8547918.91,2627233.85,10469270.01,1398292.68,9907949.12,24917658.63,420678.29,373819.07999999996,
ID,,,0.0,8048.0,109694.57,78320.61,289.25,54196.28,71795.81,74048.88,20278.46,9452.0,0.0,,2519.6,39296.03,0.0,2711.61,500.0,,50081.58,1461959.96,1302080.07,28490.37,25985.78,1851.12,3430.32,111747.09,19487.449999999997,4607.52,82768.47,477735.79,0.0,140221.05000000002,113945.79,215374.1,235232.82,25524.19,28466.46,31609.989999999998,27102.52,17566.35,3401312.95,282073.07,404402.2,7616.84,2144.4300000000003,
IL,,2436.12,18502.5,698924.83,12255022.94,457657.52,2877907.99,10605264.02,4211682.09,665763.71,6417277.53,6117287.4799999995,11449884.84,210490.53,422388.97,2041608.01,339399.39,54403.91,54940190.77,2468673.52,3669707.25,20063019.98,6681419.36,670145.42,1309438.79,1445222.53,6292148.89,4581423.85,850068.85,1683220.5,994002.98,6074648.65,11844225.37,91938933.31,4814543.71,24924757.62,15193447.71,294796.04,85385456.47,4948943.61,10324490.82,1550893.36,17156168.03,13724995.63,25066495.99,15217117.41,1699301.92,19913.63
IN,,,1392.46,714449.64,739246.91,388688.35,1028663.99,3819507.71,486339.6,105342.73,1644868.31,84080.68,200505.14,6390.37,762425.76,8557066.73,774354.78,943459.95,2108604.19,473368.68,302589.74,2075615.15,9666460.58,1931520.39,1037742.5,270648.9,195752.25,993689.59,12609373.79,2142612.73,6514840.92,9167860.04,1587945.07,95145894.93,10223532.68,1031699.1,8837242.5,76183.17,17076012.93,1048447.0,7428121.14,1100690.0,3423034.18,19166922.15,3020776.68,1039941.0499999999,3972985.9,12007.130000000001
KS,,,119858.34000000001,52351.93,1584286.57,23190.78,2150484.65,751614.95,458510.3,595319.3,461734.73,1233221.85,453841.13,12864.43,432162.87,191934.5,35975.32,592603.63,8874866.43,719615.5700000001,1381874.86,542804.32,964041.3300000001,11707060.86,570028.53,10929.15,506062.96,35728.84,619822.49,1240061.88,2688269.42,1487.45,13947381.83,2286470.56,3652314.39,1161675.12,2257009.96,193910.82,1231037.31,210887.08,1288320.19,3347946.72,3835294.31,5050372.44,6934098.12,592643.74,856166.13,
KY,,,54006.35,5566381.6,1449630.86,227100.7,849342.34,226076.19,483748.11,18558788.25,114787.5,61768.88,57191.94,187129.22,8066468.79,1408422.46,1066957.42,555367.38,348703.63,1171739.92,447317.65,3328515.17,68822567.79,2826019.93,224998.11,1460440.37,867933.85,5108026.49,6480082.17,6547026.54,8307889.33,8930690.22,686119.2,2420464.7,13383801.06,30047860.21,16357780.37,838045.72,6229678.89,1982020.94,22324839.81,1580773.2,1693866.21,27301743.28,4326635.77,4393494.15,26049855.11,3013738.91
LA,,0.0,127212.6,33461944.47,14032769.17,74455541.15,2778548.1,23662085.14,89401914.3,6887155.84,65193094.01,1365176.65,4293329.63,12471934.4,54536417.24,21119883.45,56990626.88,23631282.23,20478310.73,6380114.31,451468084.9,4258225.61,17141846.82,54423771.51,10897484.6,1764499.1099999999,81258706.5,97061209.38,8950788.95,24375376.22,10799888577.42,19358476.3,4159668.92,333832478.14,32273169.96,2629835.53,37285256.41,396778530.75,16746526.34,14278499.93,12990861.22,2399026378.66,70611609.26,11956421.49,101881824.07,185339080.34,976760748.6,440174.01
MA,,,2963.7200000000003,16052650.78,3098961.5,122123.9,166536.8,1148246.5,367188.0,872647.09,510793.53,32197.239999999998,5951231.84,846069.91,96957.27,1167148.86,108602998.92,16114175.12,1735753.4,335982.66,576739.97,6895942.13,1063677.52,3585112.16,454035.83,204063.98,5278371.09,533603.26,2873064.21,1428394.6,12986663.959999999,32594852.330000002,10067051.52,1751756.28,783204.9199999999,29158500.79,6924732.77,3049185.31,17240192.86,1757652.76,9173117.2,681612.28,1168012.43,52163028.1,854906.72,1026385.91,5468020.17,131816.17
