,statistical,statistical_era5,statistical_nlpnlp_cls_transfer.pkl,statistical_nlpnlp_avg.pkl,statistical_nlpnlp_cls_finetune.pkl,statistical_nlpnlp_cls_transfer.pkl,statistical_nlpnlp_cls.pkl,statistical_era5_nlpnlp_cls_transfer.pkl,statistical_era5_nlpnlp_avg.pkl,statistical_era5_nlpnlp_cls_finetune.pkl,statistical_era5_nlpnlp_cls_transfer.pkl,statistical_era5_nlpnlp_cls.pkl
0,0.6451804244106573,0.6566163027647578,0.6441384749327715,0.6441384749327715,0.6441384749327715,0.6441384749327715,0.6441384749327715,0.6566163027647578,0.6566163027647578,0.6566163027647578,0.6566163027647578,0.6566163027647578
1,0.5497519370876384,0.5576934105637437,0.5495789374616833,0.5495789374616833,0.5495789374616833,0.5495789374616833,0.5495789374616833,0.5576934105637437,0.5576934105637437,0.5576934105637437,0.5576934105637437,0.5576934105637437
2,0.8022690437601296,0.8314424635332253,0.8155591572123176,0.8155591572123176,0.8155591572123176,0.8155591572123176,0.8155591572123176,0.8314424635332253,0.8314424635332253,0.8314424635332253,0.8314424635332253,0.8314424635332253
3,0.5714710092390171,0.5665905617912583,0.5636012964135763,0.5636012964135763,0.5636012964135763,0.5636012964135763,0.5636012964135763,0.5665905617912583,0.5665905617912583,0.5665905617912583,0.5665905617912583,0.5665905617912583
4,0.11443726592130024,0.1149940196085657,0.11216499573217194,0.11216499573217194,0.11216499573217194,0.11216499573217194,0.11216499573217194,0.1149940196085657,0.1149940196085657,0.1149940196085657,0.1149940196085657,0.1149940196085657
5,0.2882147024504084,0.24154025670945156,0.2543757292882147,0.2543757292882147,0.2543757292882147,0.2543757292882147,0.2543757292882147,0.24154025670945156,0.24154025670945156,0.24154025670945156,0.24154025670945156,0.24154025670945156
0,0.6402855310507107,0.6446646429511164,0.6409582704560165,0.6409582704560165,0.6409582704560165,0.6409582704560165,0.6409582704560165,0.6446646429511164,0.6446646429511164,0.6446646429511164,0.6446646429511164,0.6446646429511164
1,0.52599245585101,0.542495211421765,0.5286323569372017,0.5286323569372017,0.5286323569372017,0.5286323569372017,0.5286323569372017,0.542495211421765,0.542495211421765,0.542495211421765,0.542495211421765,0.542495211421765
2,0.7563761366156576,0.8112663561765359,0.7599245952539365,0.7599245952539365,0.7599245952539365,0.7599245952539365,0.7599245952539365,0.8112663561765359,0.8112663561765359,0.8112663561765359,0.8112663561765359,0.8112663561765359
3,0.5629881091910904,0.5573506052117416,0.565490117708128,0.565490117708128,0.565490117708128,0.565490117708128,0.565490117708128,0.5573506052117416,0.5573506052117416,0.5573506052117416,0.5573506052117416,0.5573506052117416
4,0.10657797189646334,0.10694301893497406,0.1075405963288012,0.1075405963288012,0.1075405963288012,0.1075405963288012,0.1075405963288012,0.10694301893497406,0.10694301893497406,0.10694301893497406,0.10694301893497406,0.10694301893497406
5,0.3268053855569155,0.24724602203182375,0.32802937576499386,0.32802937576499386,0.32802937576499386,0.32802937576499386,0.32802937576499386,0.24724602203182375,0.24724602203182375,0.24724602203182375,0.24724602203182375,0.24724602203182375
0,0.6540431871836236,0.641852209522682,0.6538523134853733,0.6538523134853733,0.6538523134853733,0.6538523134853733,0.6538523134853733,0.641852209522682,0.641852209522682,0.641852209522682,0.641852209522682,0.641852209522682
1,0.5463023618205333,0.5458868013782258,0.5463619424360109,0.5463619424360109,0.5463619424360109,0.5463619424360109,0.5463619424360109,0.5458868013782258,0.5458868013782258,0.5458868013782258,0.5458868013782258,0.5458868013782258
2,0.8179022890331398,0.8157385263637399,0.8174467600501082,0.8174467600501082,0.8174467600501082,0.8174467600501082,0.8174467600501082,0.8157385263637399,0.8157385263637399,0.8157385263637399,0.8157385263637399,0.8157385263637399
3,0.5556359647211921,0.5560410736761959,0.5559178808918076,0.5559178808918076,0.5559178808918076,0.5559178808918076,0.5559178808918076,0.5560410736761959,0.5560410736761959,0.5560410736761959,0.5560410736761959,0.5560410736761959
4,0.11242780291798295,0.11244609691347582,0.11251277318947836,0.11251277318947836,0.11251277318947836,0.11251277318947836,0.11251277318947836,0.11244609691347582,0.11244609691347582,0.11244609691347582,0.11244609691347582,0.11244609691347582
