,grid_id_old,grid_id
1085,"(139, 194)","(48, 13)"
1103,"(142, 191)","(52, 11)"
1104,"(129, 204)","(38, 23)"
1108,"(129, 207)","(38, 26)"
1110,"(110, 108)","(20, -72)"
1112,"(110, 107)","(20, -73)"
1113,"(109, 108)","(18, -72)"
1114,"(109, 106)","(18, -74)"
1130,"(109, 107)","(18, -74)"
1132,"(110, 108)","(20, -73)"
1164,"(110, 254)","(19, 73)"
1165,"(83, 293)","(-7, 113)"
1171,"(82, 299)","(-8, 119)"
1176,"(84, 288)","(-7, 108)"
1188,"(87, 303)","(-4, 122)"
1190,"(82, 297)","(-9, 116)"
1194,"(90, 281)","(0, 101)"
1197,"(92, 301)","(1, 121)"
1203,"(133, 194)","(43, 13)"
1205,"(133, 194)","(43, 13)"
1206,"(133, 194)","(43, 13)"
1209,"(133, 194)","(43, 14)"
1215,"(135, 191)","(45, 10)"
1218,"(131, 194)","(41, 14)"
1221,"(136, 191)","(46, 11)"
1225,"(138, 194)","(48, 14)"
1229,"(138, 195)","(47, 15)"
1231,"(70, 229)","(-20, 49)"
1235,"(74, 230)","(-17, 49)"
1236,"(115, 269)","(24, 89)"
1244,"(110, 181)","(19, 1)"
1245,"(115, 272)","(25, 91)"
1248,"(108, 276)","(18, 95)"
1250,"(119, 265)","(28, 84)"
1257,"(117, 268)","(27, 88)"
1273,"(120, 263)","(30, 82)"
1280,"(111, 273)","(21, 92)"
1298,"(117, 268)","(27, 88)"
1379,"(117, 266)","(27, 86)"
1383,"(108, 188)","(17, 8)"
1384,"(115, 249)","(25, 68)"
1386,"(121, 248)","(31, 67)"
1391,"(121, 253)","(31, 73)"
1397,"(119, 250)","(29, 69)"
1400,"(75, 110)","(-15, -71)"
1401,"(75, 109)","(-16, -72)"
1411,"(84, 101)","(-7, -79)"
1427,"(75, 106)","(-15, -75)"
1433,"(104, 301)","(14, 121)"
1434,"(141, 184)","(50, 4)"
1436,"(144, 198)","(54, 18)"
1442,"(89, 210)","(-2, 29)"
1454,"(76, 112)","(-15, -68)"
1456,"(107, 165)","(16, -16)"
1457,"(62, 211)","(-28, 31)"
1459,"(62, 211)","(-28, 31)"
1463,"(56, 202)","(-34, 22)"
1466,"(83, 219)","(-8, 39)"
1476,"(84, 220)","(-7, 39)"
1477,"(91, 211)","(0, 30)"
1478,"(145, 178)","(54, -3)"
1482,"(103, 179)","(12, -2)"
1484,"(146, 59)","(56, -122)"
1486,"(141, 61)","(50, -119)"
1489,"(133, 98)","(42, -83)"
1490,"(64, 111)","(-26, -69)"
1491,"(131, 200)","(41, 20)"
1517,"(51, 109)","(-39, -72)"
