,grid_id_old,grid_id
20800,"(131, 225)","(40, 45)"
20801,"(131, 225)","(40, 44)"
20816,"(131, 225)","(40, 44)"
20817,"(58, 332)","(-33, 151)"
20818,"(57, 332)","(-34, 151)"
20819,"(76, 313)","(-14, 132)"
20820,"(60, 330)","(-30, 150)"
20821,"(68, 295)","(-23, 114)"
20823,"(63, 334)","(-28, 153)"
20824,"(67, 332)","(-24, 151)"
20825,"(60, 333)","(-30, 153)"
20827,"(55, 330)","(-35, 149)"
20828,"(69, 304)","(-22, 123)"
20829,"(76, 313)","(-14, 132)"
20830,"(63, 334)","(-28, 153)"
20831,"(67, 330)","(-24, 149)"
20832,"(70, 329)","(-20, 149)"
20836,"(58, 332)","(-32, 152)"
20837,"(138, 196)","(47, 15)"
20838,"(138, 194)","(47, 13)"
20840,"(139, 195)","(48, 14)"
20846,"(138, 194)","(47, 13)"
20847,"(137, 194)","(47, 14)"
20849,"(138, 196)","(47, 15)"
20850,"(138, 197)","(48, 17)"
20859,"(138, 194)","(47, 13)"
20860,"(139, 196)","(48, 16)"
20866,"(137, 194)","(47, 14)"
20878,"(139, 194)","(48, 14)"
20887,"(138, 194)","(47, 13)"
20901,"(138, 196)","(47, 15)"
20922,"(138, 194)","(47, 13)"
20937,"(129, 229)","(38, 49)"
20940,"(131, 229)","(40, 49)"
20942,"(115, 103)","(24, -78)"
20952,"(116, 101)","(25, -79)"
20954,"(116, 103)","(26, -78)"
20960,"(117, 102)","(27, -78)"
20974,"(117, 102)","(27, -78)"
20978,"(116, 103)","(25, -77)"
20979,"(116, 103)","(26, -78)"
21054,"(116, 103)","(26, -78)"
21144,"(115, 105)","(24, -76)"
21189,"(113, 107)","(22, -74)"
21214,"(116, 103)","(25, -77)"
21215,"(113, 272)","(23, 91)"
21216,"(114, 270)","(23, 89)"
21217,"(113, 272)","(22, 91)"
21218,"(114, 272)","(23, 91)"
21219,"(115, 272)","(25, 92)"
21220,"(114, 270)","(23, 90)"
21221,"(114, 270)","(23, 90)"
21222,"(114, 271)","(23, 90)"
21223,"(114, 270)","(23, 89)"
21224,"(114, 272)","(23, 91)"
21225,"(113, 272)","(23, 91)"
21226,"(114, 270)","(24, 89)"
21228,"(115, 270)","(24, 89)"
21229,"(116, 270)","(26, 90)"
21231,"(115, 270)","(25, 89)"
21232,"(115, 269)","(25, 88)"
21234,"(115, 272)","(25, 92)"
21235,"(114, 270)","(24, 89)"
21236,"(113, 271)","(23, 90)"
21238,"(115, 272)","(24, 91)"
21240,"(114, 271)","(23, 91)"
21244,"(115, 271)","(24, 91)"
21246,"(115, 272)","(25, 92)"
21247,"(116, 270)","(26, 89)"
21248,"(114, 272)","(24, 91)"
21250,"(115, 272)","(25, 92)"
21254,"(113, 271)","(22, 91)"
21255,"(115, 269)","(25, 89)"
21256,"(114, 272)","(23, 91)"
21258,"(115, 272)","(25, 92)"
21259,"(115, 269)","(25, 88)"
21263,"(115, 270)","(25, 89)"
21265,"(113, 270)","(22, 89)"
21266,"(117, 269)","(26, 89)"
21268,"(116, 269)","(26, 89)"
21269,"(113, 271)","(22, 91)"
21270,"(116, 270)","(26, 90)"
21274,"(115, 270)","(24, 89)"
21275,"(115, 272)","(24, 92)"
21277,"(115, 271)","(25, 91)"
21280,"(115, 270)","(24, 90)"
21289,"(114, 270)","(24, 89)"
21292,"(115, 270)","(25, 89)"
21293,"(114, 272)","(24, 91)"
21295,"(113, 271)","(22, 90)"
21296,"(115, 272)","(25, 92)"
21297,"(115, 272)","(25, 91)"
21306,"(115, 270)","(24, 89)"
21308,"(115, 270)","(24, 90)"
21310,"(114, 270)","(23, 89)"
21324,"(117, 270)","(26, 89)"
21334,"(114, 270)","(23, 90)"
21336,"(115, 270)","(25, 89)"
21341,"(104, 121)","(13, -60)"
21352,"(104, 121)","(13, -60)"
21355,"(104, 121)","(13, -60)"
21381,"(143, 206)","(52, 25)"
21384,"(141, 185)","(51, 5)"
21386,"(141, 186)","(51, 6)"
21387,"(141, 185)","(51, 5)"
21388,"(140, 186)","(50, 6)"
21389,"(141, 186)","(51, 6)"
21390,"(141, 186)","(50, 5)"
21391,"(141, 185)","(51, 5)"
21392,"(141, 184)","(51, 3)"
21393,"(141, 186)","(50, 5)"
21395,"(142, 185)","(51, 5)"
21396,"(141, 185)","(51, 4)"
21401,"(141, 185)","(51, 4)"
21422,"(141, 185)","(51, 4)"
21424,"(108, 92)","(17, -89)"
21427,"(107, 92)","(17, -88)"
21429,"(109, 92)","(18, -88)"
21439,"(109, 92)","(18, -88)"
21442,"(108, 92)","(17, -89)"
21460,"(107, 92)","(17, -88)"
21474,"(97, 182)","(7, 2)"
21475,"(97, 183)","(7, 2)"
21479,"(97, 183)","(6, 2)"
21487,"(97, 182)","(7, 2)"
21489,"(118, 270)","(28, 90)"
21490,"(117, 270)","(27, 89)"
21492,"(118, 272)","(27, 91)"
21494,"(118, 270)","(27, 89)"
21502,"(75, 112)","(-15, -68)"
21503,"(68, 116)","(-23, -64)"
21506,"(73, 119)","(-17, -61)"
21507,"(69, 117)","(-22, -64)"
21508,"(77, 115)","(-14, -65)"
21510,"(69, 117)","(-22, -64)"
21511,"(73, 114)","(-17, -66)"
21513,"(73, 119)","(-17, -61)"
21514,"(73, 114)","(-17, -66)"
21518,"(70, 116)","(-20, -64)"
21527,"(77, 115)","(-14, -65)"
21530,"(72, 115)","(-18, -65)"
21531,"(77, 114)","(-14, -67)"
21534,"(68, 116)","(-23, -64)"
21535,"(73, 114)","(-17, -66)"
21544,"(75, 112)","(-15, -68)"
21545,"(73, 115)","(-17, -66)"
21547,"(75, 112)","(-15, -68)"
21553,"(70, 116)","(-20, -64)"
21562,"(70, 116)","(-20, -64)"
21572,"(73, 114)","(-17, -66)"
21585,"(70, 116)","(-20, -64)"
21594,"(70, 116)","(-20, -64)"
21603,"(70, 116)","(-20, -64)"
21622,"(135, 199)","(44, 18)"
21626,"(136, 196)","(45, 16)"
21629,"(71, 203)","(-20, 23)"
21635,"(67, 207)","(-23, 26)"
21636,"(66, 206)","(-25, 26)"
21640,"(83, 144)","(-7, -37)"
21641,"(64, 132)","(-26, -49)"
21642,"(82, 146)","(-8, -35)"
21644,"(64, 132)","(-26, -49)"
21645,"(81, 144)","(-10, -37)"
21650,"(81, 144)","(-10, -37)"
21655,"(82, 146)","(-8, -35)"
21656,"(78, 142)","(-13, -38)"
21657,"(71, 138)","(-20, -42)"
21659,"(82, 146)","(-8, -35)"
21660,"(80, 143)","(-11, -37)"
21661,"(65, 130)","(-25, -51)"
21662,"(85, 145)","(-5, -36)"
21664,"(67, 134)","(-23, -47)"
21665,"(83, 144)","(-7, -37)"
21666,"(81, 144)","(-10, -37)"
21671,"(81, 144)","(-10, -37)"
21674,"(68, 127)","(-22, -54)"
21675,"(74, 131)","(-16, -50)"
21677,"(64, 131)","(-27, -49)"
21678,"(68, 132)","(-22, -49)"
21679,"(70, 126)","(-20, -55)"
21680,"(68, 132)","(-22, -49)"
21682,"(63, 132)","(-28, -48)"
21683,"(67, 135)","(-23, -46)"
21684,"(68, 132)","(-22, -49)"
21685,"(68, 132)","(-22, -49)"
21686,"(85, 145)","(-6, -35)"
21688,"(60, 130)","(-30, -51)"
21690,"(75, 125)","(-15, -56)"
21691,"(68, 132)","(-22, -49)"
21692,"(73, 139)","(-18, -41)"
21698,"(83, 145)","(-7, -36)"
21699,"(62, 131)","(-29, -49)"
21702,"(71, 138)","(-19, -43)"
21703,"(69, 138)","(-22, -42)"
21704,"(85, 141)","(-5, -40)"
21708,"(81, 144)","(-10, -37)"
21712,"(87, 139)","(-3, -42)"
21713,"(68, 132)","(-22, -49)"
21716,"(71, 140)","(-20, -41)"
21717,"(82, 145)","(-9, -35)"
21719,"(71, 140)","(-20, -41)"
21723,"(83, 144)","(-7, -37)"
21724,"(81, 110)","(-9, -70)"
21725,"(68, 132)","(-22, -49)"
21727,"(78, 140)","(-12, -41)"
21728,"(71, 140)","(-20, -41)"
21729,"(69, 138)","(-22, -42)"
21730,"(79, 116)","(-11, -65)"
21732,"(134, 207)","(44, 26)"
21736,"(134, 208)","(44, 28)"
21740,"(134, 206)","(43, 26)"
21741,"(133, 205)","(42, 25)"
21744,"(133, 208)","(42, 27)"
21749,"(134, 208)","(44, 28)"
21753,"(133, 206)","(43, 25)"
21761,"(133, 205)","(43, 25)"
21773,"(133, 208)","(42, 27)"
21788,"(134, 204)","(43, 23)"
21792,"(134, 209)","(44, 29)"
21794,"(132, 206)","(42, 25)"
21795,"(134, 204)","(44, 23)"
21813,"(133, 208)","(43, 27)"
21820,"(133, 205)","(42, 24)"
21824,"(133, 205)","(42, 25)"
21833,"(132, 204)","(42, 23)"
21867,"(133, 203)","(43, 23)"
21868,"(134, 204)","(43, 23)"
21876,"(133, 208)","(42, 27)"
21886,"(133, 204)","(43, 24)"
21897,"(101, 176)","(11, -5)"
21933,"(105, 180)","(14, 0)"
21943,"(103, 177)","(13, -3)"
21950,"(103, 179)","(12, -2)"
21961,"(102, 176)","(11, -4)"
21962,"(87, 210)","(-3, 29)"
21963,"(87, 210)","(-3, 29)"
21964,"(87, 210)","(-3, 29)"
21965,"(87, 210)","(-3, 29)"
21966,"(87, 210)","(-3, 29)"
21967,"(88, 210)","(-3, 29)"
21968,"(87, 210)","(-3, 29)"
21969,"(87, 210)","(-3, 29)"
21974,"(87, 210)","(-4, 29)"
21975,"(88, 210)","(-3, 29)"
21976,"(87, 210)","(-4, 30)"
21977,"(87, 210)","(-3, 29)"
21979,"(87, 210)","(-3, 29)"
21983,"(87, 210)","(-4, 30)"
21986,"(87, 210)","(-4, 29)"
21989,"(87, 210)","(-3, 29)"
21990,"(87, 210)","(-4, 29)"
21991,"(87, 211)","(-3, 30)"
21995,"(103, 286)","(12, 105)"
21999,"(103, 284)","(13, 103)"
22004,"(103, 286)","(12, 105)"
22011,"(103, 286)","(12, 105)"
22014,"(102, 286)","(11, 105)"
22016,"(104, 284)","(14, 103)"
22032,"(103, 286)","(12, 105)"
22035,"(104, 284)","(14, 103)"
22043,"(102, 286)","(12, 106)"
22055,"(105, 285)","(14, 105)"
22058,"(103, 284)","(13, 103)"
22066,"(104, 284)","(14, 103)"
22100,"(101, 195)","(11, 14)"
22101,"(95, 190)","(4, 10)"
22102,"(95, 190)","(4, 9)"
22103,"(95, 191)","(4, 10)"
22105,"(101, 196)","(10, 15)"
22107,"(97, 194)","(7, 13)"
22108,"(97, 194)","(7, 13)"
22110,"(95, 190)","(4, 10)"
22111,"(140, 83)","(50, -97)"
22112,"(142, 66)","(51, -114)"
22113,"(146, 66)","(55, -115)"
22114,"(137, 113)","(47, -68)"
22115,"(144, 67)","(54, -113)"
22116,"(142, 66)","(51, -114)"
22117,"(146, 66)","(55, -115)"
22118,"(136, 107)","(45, -73)"
22119,"(146, 66)","(55, -115)"
22120,"(146, 66)","(55, -115)"
22121,"(146, 66)","(55, -115)"
22124,"(143, 77)","(53, -103)"
22125,"(141, 98)","(50, -83)"
22126,"(159, 45)","(68, -135)"
22127,"(145, 75)","(54, -106)"
22129,"(134, 99)","(44, -82)"
22130,"(142, 66)","(51, -114)"
22131,"(134, 101)","(44, -79)"
22132,"(142, 66)","(51, -114)"
22133,"(105, 156)","(15, -25)"
22134,"(108, 155)","(17, -25)"
22146,"(95, 199)","(4, 19)"
22147,"(96, 200)","(6, 19)"
22149,"(95, 199)","(4, 19)"
22155,"(96, 200)","(6, 19)"
22156,"(95, 199)","(4, 19)"
22158,"(95, 199)","(4, 19)"
22161,"(95, 198)","(4, 18)"
22163,"(95, 199)","(4, 19)"
22164,"(97, 198)","(6, 17)"
22165,"(95, 199)","(4, 19)"
22166,"(95, 199)","(4, 19)"
22168,"(95, 199)","(5, 18)"
22171,"(95, 199)","(4, 19)"
22174,"(95, 199)","(4, 19)"
22175,"(99, 196)","(9, 16)"
22176,"(106, 201)","(15, 21)"
22177,"(99, 196)","(9, 16)"
22180,"(104, 199)","(14, 19)"
22193,"(99, 197)","(9, 17)"
22197,"(99, 197)","(9, 17)"
22198,"(101, 196)","(10, 16)"
22200,"(101, 201)","(11, 21)"
22201,"(100, 199)","(9, 19)"
22202,"(103, 202)","(12, 21)"
22203,"(101, 196)","(10, 16)"
22204,"(102, 196)","(12, 15)"
22205,"(104, 199)","(14, 19)"
22229,"(103, 202)","(12, 21)"
22238,"(49, 108)","(-41, -73)"
22240,"(60, 110)","(-31, -71)"
22242,"(67, 111)","(-23, -69)"
22243,"(60, 110)","(-31, -71)"
22245,"(57, 110)","(-33, -71)"
22250,"(57, 110)","(-33, -71)"
22251,"(72, 111)","(-19, -70)"
22253,"(53, 107)","(-37, -73)"
22254,"(56, 110)","(-34, -71)"
22257,"(49, 108)","(-41, -72)"
22261,"(49, 108)","(-41, -73)"
22262,"(67, 111)","(-23, -69)"
22264,"(52, 108)","(-39, -72)"
22266,"(60, 110)","(-31, -71)"
22273,"(52, 108)","(-39, -72)"
22287,"(57, 110)","(-33, -71)"
22288,"(53, 108)","(-37, -72)"
22293,"(52, 108)","(-39, -72)"
22297,"(72, 111)","(-18, -70)"
22299,"(53, 108)","(-37, -72)"
22305,"(130, 297)","(40, 116)"
22306,"(130, 298)","(39, 117)"
22307,"(114, 301)","(23, 120)"
22308,"(131, 297)","(40, 116)"
22311,"(123, 300)","(33, 119)"
22312,"(118, 296)","(28, 116)"
22314,"(121, 293)","(31, 112)"
22315,"(121, 293)","(31, 112)"
22316,"(126, 277)","(36, 96)"
22317,"(122, 298)","(32, 117)"
22321,"(123, 300)","(33, 119)"
22322,"(122, 298)","(32, 117)"
22323,"(121, 293)","(31, 112)"
22324,"(122, 298)","(32, 117)"
22325,"(118, 296)","(28, 116)"
22326,"(118, 296)","(28, 116)"
22327,"(128, 287)","(37, 106)"
22328,"(118, 292)","(28, 112)"
22330,"(118, 296)","(28, 116)"
22331,"(128, 293)","(38, 112)"
22332,"(121, 288)","(30, 108)"
22333,"(122, 298)","(32, 117)"
22339,"(130, 297)","(40, 116)"
22341,"(123, 300)","(33, 119)"
22342,"(110, 290)","(19, 110)"
22343,"(130, 297)","(40, 116)"
22345,"(121, 288)","(30, 108)"
22346,"(126, 277)","(36, 96)"
22347,"(118, 292)","(28, 112)"
22348,"(126, 289)","(35, 109)"
22349,"(130, 297)","(40, 116)"
22350,"(131, 297)","(40, 116)"
22351,"(110, 290)","(19, 110)"
22352,"(110, 290)","(19, 110)"
22353,"(118, 292)","(28, 112)"
22354,"(118, 292)","(28, 112)"
22355,"(130, 297)","(40, 116)"
22358,"(122, 298)","(32, 117)"
22364,"(110, 290)","(19, 110)"
22365,"(134, 307)","(44, 126)"
22366,"(110, 290)","(19, 110)"
22367,"(118, 292)","(28, 112)"
22369,"(118, 292)","(28, 112)"
22370,"(117, 287)","(27, 107)"
22371,"(118, 296)","(28, 116)"
22372,"(118, 292)","(28, 112)"
22374,"(135, 294)","(44, 114)"
22377,"(128, 293)","(38, 112)"
22378,"(123, 300)","(33, 119)"
22379,"(123, 300)","(33, 119)"
22380,"(110, 290)","(19, 110)"
22381,"(126, 277)","(36, 96)"
22382,"(118, 296)","(28, 116)"
22383,"(110, 290)","(19, 110)"
22384,"(118, 292)","(28, 112)"
22386,"(118, 292)","(28, 112)"
22387,"(134, 307)","(44, 126)"
22389,"(123, 300)","(33, 119)"
22392,"(122, 298)","(32, 117)"
22398,"(134, 307)","(44, 126)"
22399,"(134, 307)","(44, 126)"
22400,"(135, 294)","(44, 114)"
22401,"(122, 298)","(32, 117)"
22409,"(118, 292)","(28, 112)"
22413,"(110, 290)","(19, 110)"
22414,"(118, 292)","(28, 112)"
22415,"(122, 298)","(32, 117)"
22419,"(117, 287)","(27, 107)"
22420,"(122, 298)","(32, 117)"
22421,"(118, 292)","(28, 112)"
22422,"(130, 297)","(40, 116)"
22423,"(121, 293)","(31, 112)"
22425,"(121, 293)","(31, 112)"
22426,"(118, 292)","(28, 112)"
22428,"(121, 293)","(31, 112)"
22431,"(135, 294)","(44, 114)"
22432,"(124, 294)","(34, 114)"
22433,"(130, 297)","(40, 116)"
22434,"(121, 293)","(31, 112)"
22435,"(121, 293)","(31, 112)"
22438,"(130, 297)","(40, 116)"
22439,"(122, 298)","(32, 117)"
22446,"(122, 298)","(32, 117)"
22447,"(118, 292)","(28, 112)"
22448,"(130, 297)","(40, 116)"
22449,"(123, 300)","(33, 119)"
22450,"(128, 293)","(38, 112)"
22451,"(131, 297)","(40, 116)"
22452,"(128, 293)","(38, 112)"
22453,"(117, 287)","(27, 107)"
22454,"(117, 287)","(27, 107)"
22455,"(126, 289)","(35, 109)"
22456,"(130, 297)","(40, 116)"
22458,"(118, 292)","(28, 112)"
22459,"(110, 290)","(19, 110)"
22460,"(110, 290)","(19, 110)"
22461,"(118, 296)","(28, 116)"
22463,"(121, 293)","(31, 112)"
22465,"(124, 294)","(34, 114)"
22467,"(124, 294)","(34, 114)"
22470,"(126, 277)","(36, 96)"
22471,"(126, 289)","(35, 109)"
22472,"(123, 300)","(33, 119)"
22473,"(110, 290)","(19, 110)"
22474,"(118, 292)","(28, 112)"
22475,"(121, 288)","(30, 108)"
22481,"(124, 294)","(34, 114)"
22482,"(118, 292)","(28, 112)"
22483,"(118, 292)","(28, 112)"
22484,"(118, 296)","(28, 116)"
22485,"(126, 277)","(36, 96)"
22486,"(118, 292)","(28, 112)"
22488,"(117, 287)","(27, 107)"
22494,"(122, 298)","(32, 117)"
22497,"(122, 298)","(32, 117)"
22499,"(135, 294)","(44, 114)"
22500,"(124, 294)","(34, 114)"
22503,"(122, 298)","(32, 117)"
22504,"(110, 290)","(19, 110)"
22505,"(135, 294)","(44, 114)"
22506,"(118, 292)","(28, 112)"
22507,"(126, 277)","(36, 96)"
22508,"(118, 296)","(28, 116)"
22509,"(121, 288)","(30, 108)"
22510,"(121, 293)","(31, 112)"
22511,"(117, 287)","(27, 107)"
22512,"(117, 287)","(27, 107)"
22513,"(118, 292)","(28, 112)"
22514,"(117, 287)","(27, 107)"
22515,"(121, 288)","(30, 108)"
22519,"(121, 288)","(30, 108)"
22521,"(121, 288)","(30, 108)"
22522,"(126, 277)","(36, 96)"
22523,"(131, 297)","(40, 116)"
22524,"(122, 298)","(32, 117)"
22528,"(118, 292)","(28, 112)"
22530,"(134, 307)","(44, 126)"
22531,"(122, 298)","(32, 117)"
22532,"(134, 307)","(44, 126)"
22533,"(121, 293)","(31, 112)"
22534,"(122, 298)","(32, 117)"
22540,"(123, 300)","(33, 119)"
22541,"(110, 290)","(19, 110)"
22545,"(121, 293)","(31, 112)"
22547,"(121, 293)","(31, 112)"
22549,"(118, 296)","(28, 116)"
22550,"(121, 293)","(31, 112)"
22552,"(117, 287)","(27, 107)"
22553,"(117, 287)","(27, 107)"
22555,"(121, 293)","(31, 112)"
22556,"(117, 287)","(27, 107)"
22557,"(118, 292)","(28, 112)"
22558,"(117, 287)","(27, 107)"
22559,"(117, 287)","(27, 107)"
22560,"(122, 298)","(32, 117)"
22563,"(118, 296)","(28, 116)"
22564,"(128, 287)","(37, 106)"
22565,"(118, 292)","(28, 112)"
22573,"(124, 294)","(34, 114)"
22574,"(118, 292)","(28, 112)"
22580,"(110, 290)","(19, 110)"
22582,"(124, 294)","(34, 114)"
22583,"(121, 293)","(31, 112)"
22584,"(135, 294)","(44, 114)"
22585,"(121, 288)","(30, 108)"
22586,"(121, 288)","(30, 108)"
22587,"(118, 296)","(28, 116)"
22588,"(122, 298)","(32, 117)"
22593,"(121, 293)","(31, 112)"
22594,"(122, 298)","(32, 117)"
22596,"(124, 294)","(34, 114)"
22597,"(118, 292)","(28, 112)"
22603,"(126, 289)","(35, 109)"
22604,"(110, 290)","(19, 110)"
22606,"(121, 293)","(31, 112)"
22607,"(121, 288)","(30, 108)"
22614,"(121, 288)","(30, 108)"
22620,"(124, 294)","(34, 114)"
22621,"(122, 298)","(32, 117)"
22626,"(118, 296)","(28, 116)"
22628,"(121, 293)","(31, 112)"
22629,"(122, 298)","(32, 117)"
22635,"(134, 307)","(44, 126)"
22636,"(110, 290)","(19, 110)"
22637,"(121, 293)","(31, 112)"
22640,"(122, 298)","(32, 117)"
22642,"(117, 287)","(27, 107)"
22644,"(122, 298)","(32, 117)"
22645,"(121, 288)","(30, 108)"
22646,"(122, 298)","(32, 117)"
22653,"(117, 287)","(27, 107)"
22655,"(121, 288)","(30, 108)"
22656,"(130, 297)","(40, 116)"
22657,"(122, 298)","(32, 117)"
22666,"(122, 298)","(32, 117)"
22672,"(122, 298)","(32, 117)"
22674,"(117, 287)","(27, 107)"
22675,"(126, 277)","(36, 96)"
22676,"(121, 288)","(30, 108)"
22677,"(122, 298)","(32, 117)"
22687,"(110, 290)","(19, 110)"
22690,"(110, 290)","(19, 110)"
22691,"(122, 298)","(32, 117)"
22697,"(121, 293)","(31, 112)"
22699,"(118, 292)","(28, 112)"
22702,"(131, 297)","(40, 116)"
22708,"(123, 300)","(33, 119)"
22711,"(121, 288)","(30, 108)"
22717,"(110, 290)","(19, 110)"
22719,"(117, 287)","(27, 107)"
22720,"(118, 292)","(28, 112)"
22722,"(118, 292)","(28, 112)"
22723,"(121, 288)","(30, 108)"
22730,"(121, 293)","(31, 112)"
22731,"(123, 300)","(33, 119)"
22732,"(131, 297)","(40, 116)"
22733,"(135, 294)","(44, 114)"
22735,"(123, 300)","(33, 119)"
22736,"(121, 293)","(31, 112)"
22739,"(126, 289)","(35, 109)"
22740,"(130, 297)","(40, 116)"
22742,"(117, 287)","(27, 107)"
22743,"(122, 298)","(32, 117)"
22746,"(123, 300)","(33, 119)"
22747,"(117, 287)","(27, 107)"
22751,"(110, 290)","(19, 110)"
22752,"(118, 296)","(28, 116)"
22753,"(117, 287)","(27, 107)"
22755,"(117, 287)","(27, 107)"
22758,"(122, 298)","(32, 117)"
22762,"(122, 298)","(32, 117)"
22766,"(134, 307)","(44, 126)"
22767,"(126, 289)","(35, 109)"
22768,"(110, 290)","(19, 110)"
22770,"(124, 294)","(34, 114)"
22771,"(110, 290)","(19, 110)"
22775,"(135, 294)","(44, 114)"
22777,"(110, 290)","(19, 110)"
22781,"(134, 307)","(44, 126)"
22782,"(110, 290)","(19, 110)"
22783,"(121, 293)","(31, 112)"
22784,"(130, 297)","(40, 116)"
22785,"(124, 294)","(34, 114)"
22786,"(121, 288)","(30, 108)"
22790,"(122, 298)","(32, 117)"
22794,"(118, 292)","(28, 112)"
22798,"(118, 292)","(28, 112)"
22799,"(121, 288)","(30, 108)"
22801,"(117, 287)","(27, 107)"
22802,"(117, 287)","(27, 107)"
22803,"(117, 287)","(27, 107)"
22806,"(110, 290)","(19, 110)"
22809,"(117, 287)","(27, 107)"
22812,"(118, 296)","(28, 116)"
22815,"(117, 287)","(27, 107)"
22816,"(117, 287)","(27, 107)"
22817,"(117, 287)","(27, 107)"
22820,"(117, 287)","(27, 107)"
22827,"(121, 288)","(30, 108)"
22829,"(121, 288)","(30, 108)"
22830,"(121, 288)","(30, 108)"
22834,"(117, 287)","(27, 107)"
22837,"(121, 288)","(30, 108)"
22840,"(117, 287)","(27, 107)"
22843,"(122, 298)","(32, 117)"
22848,"(110, 290)","(19, 110)"
22850,"(122, 298)","(32, 117)"
22852,"(122, 298)","(32, 117)"
22853,"(94, 105)","(3, -75)"
22854,"(97, 105)","(7, -75)"
22855,"(97, 103)","(6, -77)"
22857,"(96, 105)","(5, -75)"
22859,"(92, 103)","(2, -78)"
22860,"(93, 104)","(2, -77)"
22861,"(101, 106)","(11, -75)"
22862,"(95, 105)","(4, -75)"
22863,"(103, 99)","(13, -82)"
22864,"(92, 103)","(2, -78)"
22865,"(95, 111)","(5, -69)"
22866,"(97, 105)","(7, -76)"
22867,"(89, 109)","(-2, -71)"
22873,"(97, 109)","(7, -71)"
22874,"(95, 106)","(5, -74)"
22875,"(93, 105)","(3, -76)"
22878,"(96, 107)","(6, -73)"
22880,"(95, 105)","(5, -76)"
22881,"(97, 107)","(7, -74)"
22882,"(100, 105)","(10, -75)"
22883,"(97, 105)","(6, -76)"
22886,"(92, 105)","(2, -76)"
22890,"(92, 103)","(2, -78)"
22893,"(99, 105)","(8, -75)"
22895,"(98, 103)","(7, -78)"
22896,"(91, 105)","(0, -76)"
22897,"(95, 106)","(5, -74)"
22898,"(97, 110)","(7, -71)"
22899,"(97, 105)","(7, -76)"
22901,"(91, 107)","(1, -74)"
22913,"(97, 105)","(7, -76)"
22917,"(97, 105)","(7, -76)"
22940,"(97, 105)","(7, -76)"
22960,"(95, 105)","(4, -75)"
22961,"(97, 105)","(7, -76)"
22965,"(97, 105)","(7, -76)"
22972,"(93, 105)","(3, -75)"
22973,"(94, 108)","(3, -73)"
22997,"(97, 105)","(7, -76)"
23109,"(89, 109)","(-2, -71)"
23117,"(95, 106)","(5, -74)"
23118,"(93, 105)","(3, -76)"
23119,"(93, 104)","(2, -77)"
23134,"(101, 106)","(11, -75)"
23137,"(96, 105)","(5, -75)"
23142,"(95, 106)","(5, -74)"
23144,"(78, 225)","(-12, 44)"
23147,"(79, 224)","(-12, 43)"
23149,"(78, 225)","(-12, 44)"
23152,"(78, 224)","(-12, 44)"
23153,"(78, 225)","(-12, 44)"
23154,"(78, 225)","(-12, 44)"
23169,"(78, 225)","(-12, 44)"
23172,"(78, 224)","(-12, 44)"
23173,"(78, 225)","(-12, 44)"
23179,"(92, 198)","(2, 17)"
23180,"(90, 197)","(-1, 16)"
23183,"(86, 196)","(-4, 15)"
23184,"(86, 196)","(-4, 15)"
23185,"(86, 196)","(-4, 15)"
23187,"(86, 192)","(-5, 12)"
23188,"(86, 196)","(-4, 15)"
23189,"(100, 97)","(10, -84)"
23191,"(100, 97)","(10, -83)"
23192,"(101, 96)","(11, -84)"
23193,"(100, 97)","(10, -84)"
23194,"(100, 97)","(10, -84)"
23195,"(100, 97)","(9, -84)"
23196,"(100, 97)","(9, -84)"
23198,"(101, 96)","(11, -85)"
23201,"(101, 97)","(10, -83)"
23203,"(100, 97)","(10, -83)"
23205,"(100, 97)","(10, -84)"
23206,"(100, 97)","(10, -83)"
23207,"(100, 97)","(10, -84)"
23210,"(100, 97)","(10, -84)"
23213,"(101, 95)","(11, -85)"
23214,"(100, 97)","(10, -84)"
23217,"(101, 96)","(11, -85)"
23227,"(101, 97)","(10, -83)"
23235,"(100, 97)","(10, -83)"
23246,"(100, 97)","(10, -84)"
23247,"(100, 96)","(10, -84)"
23282,"(101, 96)","(10, -84)"
23286,"(100, 97)","(10, -84)"
23294,"(101, 96)","(11, -85)"
23322,"(101, 97)","(10, -83)"
23327,"(96, 176)","(6, -4)"
23328,"(96, 176)","(5, -4)"
23329,"(96, 176)","(5, -4)"
23333,"(96, 176)","(5, -4)"
23334,"(96, 176)","(5, -4)"
23335,"(96, 176)","(5, -4)"
23338,"(136, 199)","(46, 19)"
23356,"(136, 198)","(45, 18)"
23368,"(136, 200)","(45, 19)"
23377,"(113, 98)","(23, -83)"
23383,"(111, 106)","(20, -75)"
23384,"(114, 98)","(23, -82)"
23385,"(113, 100)","(22, -80)"
23386,"(113, 100)","(22, -80)"
23390,"(111, 104)","(20, -77)"
23393,"(111, 106)","(20, -75)"
23395,"(111, 104)","(20, -77)"
23398,"(111, 106)","(20, -75)"
23399,"(114, 98)","(23, -82)"
23400,"(113, 101)","(22, -80)"
23401,"(113, 100)","(22, -80)"
23403,"(111, 106)","(20, -75)"
23405,"(113, 100)","(22, -80)"
23409,"(113, 100)","(22, -80)"
23411,"(114, 98)","(23, -82)"
23412,"(113, 100)","(22, -80)"
23414,"(113, 100)","(22, -80)"
23415,"(113, 100)","(22, -80)"
23425,"(113, 100)","(22, -80)"
23433,"(113, 100)","(22, -80)"
23472,"(113, 100)","(22, -80)"
23484,"(113, 100)","(22, -80)"
